"forma_vendita_edicole","Ubicazione","TipoVia","DescrizioneVia","Civico","CodiceVia","ZD","settore_storico_ed","superficie_occupata","vendita_esclusiva"
"rivendita in supermercato","CSO LODI num.098 , (z.d. 4)","VIA ","OREFICI","","547","1","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","PZA FRATTINI PIETRO N. 4 (z.d. 6)","PZA ","FRATTINI PIETRO","4","5389","6","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA AMMIANO MARCELLINO num.014 , (z.d. 4)","VIA ","AMMIANO MARCELLINO","","4101","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in supermercato","VIA BERGAMO N. 10 (z.d. 4)","VIA ","BERGAMO","10","3189","4","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA CAGLIERO GIOVANNI num.014/a , (z.d. 2)","VIA ","CAGLIERO GIOVANNI","","1407","2","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA CUSAGO num.196 , (z.d. 7)","VIA ","NOVARA","219","6624","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA DE ANGELI CARLO N. 1 (z.d. 5)","VIA ","DE ANGELI CARLO","1","4326","5","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA DE MARCHI EMILIO N. 10 (z.d. 2)","VIA ","DE MARCHI EMILIO","10","1418","2","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA DEI MISSAGLIA num.061/a , (z.d. 5)","LGO ","DELLA CROCETTA","","654","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in supermercato","VIA DELLA PECETTA num.031/33 , (z.d. 8)","VIA ","DELLA PECETTA","","7251","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA DELLE FORZE ARMATE N. 199 ang. via val devero, (z.d. 7)","VIA ","DELLE FORZE ARMATE","199","6643","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA DOMENICHINO N. 2 ang. viale monte rosa, (z.d. 7)","VIA ","DOMENICHINO","2","6383","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA GOZZOLI BENOZZO N. 130 int. centro comm. la torre, (z.d. 7)","VIA ","GOZZOLI BENOZZO","130","6789","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA LEGNONE N. 3 (z.d. 9)","VIA ","LEGNONE","3","1298","9","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA LORENTEGGIO N. 219 (z.d. 6)","VIA ","LORENTEGGIO","219","5132","6","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA LORENTEGGIO N. 230 (z.d. 6)","VIA ","LORENTEGGIO","230","5132","6","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA LOSANNA num.020/22 , (z.d. 8)","VIA ","LOSANNA","","7190","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA MAC MAHON N. 128 (z.d. 8)","VIA ","MAC MAHON","128","7221","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA MARCHESI POMPEO num.005 ang. zoia, (z.d. 7)","VIA ","QUARENGHI GIACOMO","23","7478","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA MARIANI POMPEO N. 2 (z.d. 2)","VIA ","MARIANI POMPEO","2","2490","2","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA MORGANTINI MARIO N. 15 (z.d. 7)","VIA ","MORGANTINI MARIO","15","6568","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA NOVARA N. 15 (z.d. 7)","VIA ","NOVARA","15","6624","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in supermercato","VIA NOVARA N. 86 (z.d. 7)","VIA ","NOVARA","86","6624","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA PALAZZOLO DON LUIGI N. 20 int. centro commle portello, (z.d. 8)","VIA ","PALAZZOLO DON LUIGI","20","7522","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA PALIZZI FILIPPO N. 69 (z.d. 8)","VIA ","PALIZZI FILIPPO","69","7451","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA PALMANOVA N. 65 (z.d. 2)","VIA ","PALMANOVA","65","2390","2","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA PEZZOTTI GIOVANNI num.000 ang. via s. ampelio, (z.d. 5)","VIA ","PEZZOTTI GIOVANNI","","5244","5","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA POLLAK LEOPOLDO N. 8 ang. via novara, (z.d. 7)","VIA ","POLLAK LEOPOLDO","8","6853","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA QUARENGHI GIACOMO N. 23 int. centro comm.le bonola, (z.d. 8)","VIA ","QUARENGHI GIACOMO","23","7478","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA RIPAMONTI GIUSEPPE N. 181 (z.d. 5)","VIA ","RIPAMONTI GIUSEPPE","181","4066","5","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA ROSSI PELLEGRINO N. 33 (z.d. 9)","VIA ","ROSSI PELLEGRINO","33","1510","9","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA TOSCOLANO N. 7 ang. piazza ovidio, (z.d. 4)","VIA ","TOSCOLANO","7","3362","4","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA TRILUSSA num.024 , (z.d. 8)","VIA ","TRILUSSA","","7367","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA TRIVULZIO ANTONIO TOLOMEO N. 12 int. standa, (z.d. 7)","VIA ","TRIVULZIO ANTONIO TOLOMEO","12","6277","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA WASHINGTON GIORGIO N. 53 (z.d. 7)","VIA ","WASHINGTON GIORGIO","53","6111","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VIA WASHINGTON GIORGIO N. 55 ang. via digione, (z.d. 7)","VIA ","WASHINGTON GIORGIO","55","6111","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VLE CASSALA N. 22 (z.d. 6)","VLE ","CASSALA","22","5275","6","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VLE CERTOSA N. 59 (z.d. 8)","VLE ","CERTOSA","59","7174","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VLE PAPINIANO N. 27 ang. via calco, (z.d. 1)","VLE ","PAPINIANO","27","5097","1","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VLE PIAVE N. 38 (z.d. 3)","VLE ","PIAVE","38","2179","3","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VLE VIGLIANI PAOLO ONORATO num.059 , (z.d. 8)","VLE ","VIGLIANI PAOLO ONORATO","","6422","8","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in supermercato","VLE ZARA N. 123 (z.d. 9)","VLE ","ZARA","123","1170","9","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in stazione metrop.","codvia 9101 num.000 0 mm1 villa, (z.d. 2)","VIA ","SAN PROSPERO","","721","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9102 mm1 precot, (z.d. 2)","VLE ","ARGONNE","32","3254","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9103 mm1 gorla, (z.d. 2)","LGO ","BRASILIA","6","6145","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9104 mm1 turro, (z.d. 2)","VIA ","BAGAROTTI MAFFEO","40","6585","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9105 mm1 rovere, (z.d. 2)","VIA ","BARBAVARA","","5108","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9106 mm1 pasteu, (z.d. 2)","VIA ","BIXIO NINO","12","3133","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9107 mm1 loreto, (z.d. 2)","VIA ","DON RODRIGO","2","5416","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9108 mm1 lima, (z.d. 3)","VIA ","BAGAROTTI MAFFEO","40","6585","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9109 mm1 pta ve, (z.d. 1)","VIA ","DE ANGELIS MICHELE","15","1527","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9109 mm1 pta ve, (z.d. 1)","VIA ","FABRIANO","3","1642","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9110 num.002  mm1 palest, (z.d. 1)","LGO ","BRASILIA","6","6145","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9111 mm1 s. bab, (z.d. 1)","VLE ","ARGONNE","32","3254","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9112 mm1 duomo, (z.d. 1)","VIA ","DON RODRIGO","2","5416","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9112 mm1 duomo, (z.d. 1)","VIA ","BAGAROTTI MAFFEO","40","6585","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9113 mm1 cordus, (z.d. 1)","VIA ","BARBAVARA","","5108","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9114 mm1 cairol, (z.d. 1)","VIA ","DE ANGELIS MICHELE","15","1527","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9116 mm1 concil, (z.d. 1)","VIA ","DON RODRIGO","2","5416","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9117 mm1 pagano, (z.d. 6)","VIA ","WATT GIACOMO","2","5292","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9118 mm1 buonar, (z.d. 7)","VIA ","FABRIANO","3","1642","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9119 num.003  mm1 amendo, (z.d. 8)","VIA ","SAN PROSPERO","","721","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9120 mm1 lotto, (z.d. 8)","VIA ","SAN BENIGNO","4","3247","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9121 mm1 wagner, (z.d. 7)","VIA ","DON RODRIGO","2","5416","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9123 mm1 gambar, (z.d. 7)","VLE ","ARGONNE","32","3254","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9124 mm1 q.t.8, (z.d. 8)","VIA ","SAN PROSPERO","","721","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9126 mm1 ingann, (z.d. 6)","VLE ","ARGONNE","32","3254","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9127 mm1 primat, (z.d. 6)","VIA ","SAN BENIGNO","4","3247","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9128 mm1 lampug, (z.d. 8)","VIA ","SAN PROSPERO","","721","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9129 mm1 urugua, (z.d. 8)","VIA ","PIANELL SALVATORE","47","1426","9","XIV-QUOTIDIANI, PERIODI,XIV sub 3,XIII (libri)","","Si"
"rivendita in stazione metrop.","codvia 9130 mm1 bonola, (z.d. 8)","LGO ","BRASILIA","6","6145","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9131 mm1 s.leon, (z.d. 8)","VIA ","BAGAROTTI MAFFEO","40","6585","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9132 mm1 molino, (z.d. 8)","VIA ","FABRIANO","3","1642","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9133 mm1 bisceg, (z.d. 7)","RIP ","DI PTA TICINESE","97","5150","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9201 mm2 cascin, (z.d. 2)","VIA ","BARTOLOMEO D'ALVIANO","78","6612","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9202 mm2 cresce, (z.d. 3)","VIA ","SAN BENIGNO","4","3247","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9203 mm2 cimian, (z.d. 2)","VIA ","FABRIANO","3","1642","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9204 mm2 udine, (z.d. 3)","VIA ","BAGAROTTI MAFFEO","40","6585","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9205 mm2 lambra, (z.d. 3)","VIA ","BAGAROTTI MAFFEO","40","6585","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9205 mm2 lambra, (z.d. 3)","VIA ","DE ANGELIS MICHELE","15","1527","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9206 mm2 piola, (z.d. 3)","VIA ","BARBAVARA","","5108","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9207 mm2 loreto, (z.d. 3)","VIA ","DE ANGELIS MICHELE","15","1527","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9207 mm2 loreto, (z.d. 3)","VIA ","BAGAROTTI MAFFEO","40","6585","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9208 mm2 caiazz, (z.d. 2)","VLE ","ARGONNE","32","3254","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9209 mm2 centra, (z.d. 2)","VIA ","SAN PROSPERO","","721","1","XIV-QUOTIDIANI, PERIODI","","Si"
