,NON ATTRIBUITO,VIA USSI STEFANO   4,9,CENTRO SPORTIVO,,
,S.S. BAGGIO 2,VIA OLIVIERI ALESSIO   11,7,CALCIO A 11,,024599310
0239210739,LIDO DI MILANO,PLE LOTTO LORENZO   15,8,MINI GOLF,www.milanosport.it,0239266100
,COOP. AGRISPORT SEZIONE CALCIO,VIA DEL RICORDO   58,2,CENTRO SPORTIVO,,0227207742
,SOCIETA GINNASTICA MILANO 2000,VIA MARTIGNONI ADELE   1  A,2,CENTRO SPORTIVO,,02603288
,PRO PATRIA MILANO S.R.L.,VLE SARCA   205,9,ATLETICA,,026437519
,A.S.D. ATLETICO MILANO,VIA DEI CICLAMINI   18,6,CENTRO SPORTIVO,,024120207
,NON ATTRIBUITO,VIA DEGLI ANEMONI   8,6,CENTRO SPORTIVO,,0288456074
025468795,A.S. CALVAIRATE,VIA VISMARA GASPARE   3,4,CALCIO A 11,www.ascalvairate.com,025462083
,TENNIS CLUB AMBROSIANO,VIA FELTRE   33,3,CENTRO SPORTIVO,,0226414392
,G.S. LOMBARDINA,VIA SBARBARO CAMILLO   1,9,CALCIO A 11,,026469651
,S.S. SCARIONI 1925,VIA TUCIDIDE   10,3,CALCIO A 11,,0270102158
0248929182,MILANO SPORT SPA,VIA ARIOLI VENEGONI   9,7,PISCINA,www.milanosport.it,024566316
0248376073,MILANO SPORT SPA,VIA DEL CARDELLINO   3,6,NUOTO,www.milanosport.it,02417948
,CONI FIS CIRCOLO SPADA  MANGIAROTTI,VLE TUNISIA   35,2,PALESTRA,,026590166
0269540375,MILANO SPORT SPA,VIA SANT' ABBONDIO   12,5,PISCINA,www.milanosport.it,028466861
0243983187,MILANO SPORT SPA,VIA MONTEVIDEO   11,6,NUOTO,www.miltanosport.it,024695278
,COOPERATIVA DRIMS,VIA MECENATE   74,4,CENTRO SPORTIVO,,025061277
0289306784,LUIGI CARRARO,VIA DEI MISSAGLIA   146,5,CENTRO SPORTIVO,www.milanosport.it,028266540
,GIANNI BRERA,VLE BYRON GIORGIO   2,1,CENTRO SPORTIVO,www.comune.milano.it,02341924
,EMILIO COLOMBO,VIA DEL CARDELLINO   15,6,CENTRO SPORTIVO,,02410976
