5141,1,,1512100.88899,5032710.90501,ALFREDO CHIESA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PARROCCHIA DI SAN CRISTOFORO,PRIVATA,GRUPPO TEATRO RARE TRACCE,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA SAN CRISTOFORO 1,5141 1,1,6,ALFREDO CHIESA, VIA SAN CRISTOFORO 1, TEATRO
2274,140,,1517394.78118,5038981.81589,AREA ZELIG CABARET,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,BANANAS SRL,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VLE MONZA 140,2274 140,2,2,AREA ZELIG CABARET, VLE MONZA 140, TEATRO
1524,40,,1514979.26041,5040073.09999,ARGOMM TEATRO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,ASSOCIAZIONE CULTURALE ARGOMM TETARO,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA GRAZIANO IMPERATORE 40,1524 40,3,9,ARGOMM TEATRO, VIA GRAZIANO IMPERATORE 40, TEATRO
555,11,,1514086.25001,5034043.15602,ARSENALE,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,ASSOCIAZIONE TEATRO ARSENALE,PRIVATA,CONVENZIONE,IN ESERCIZIO,VIA CORRENTI CESARE 11,555 11,4,1,ARSENALE, VIA CORRENTI CESARE 11, TEATRO
5330,35,,1513943.892,5031116.73099,ATELIER CARLO COLLA E FIGLI,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,CURIA,PRIVATA,ASSOCIAZIONE GRUPPORIANI,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA MONTEGANI LODOVICO 35,5330 35,5,5,ATELIER CARLO COLLA E FIGLI, VIA MONTEGANI LODOVICO 35, TEATRO
7254,5,,1512539.64851,5037804.69839,AUDITORIUM DEMETRIO STRATOS DI RADIO POPOLARE,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,PRIVATA,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA OLLEARO ULDERICO 5,7254 5,66,8,AUDITORIUM DEMETRIO STRATOS DI RADIO POPOLARE, VIA OLLEARO ULDERICO 5, AUDITORIUM
7246,36,,1513177.52819,5037544.9068,AUDITORIUM DI VILLA SIMONETTA,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,FONDAZIONE SCUOLE CIVICHE DI MILANO,PUBBLICA,GESTIONE DIRETTA,IN ESERCIZIO,VIA STILICONE 36,7246 36,67,8,AUDITORIUM DI VILLA SIMONETTA, VIA STILICONE 36, AUDITORIUM
3016,43,,1515979.45002,5034364.29,AUDITORIUM DI VITTORIO - CAMERA DEL LAVORO,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,CAMERA DEL LAVORO METROPOLITANA DI MILANO,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,CSO DI PORTA VITTORIA 43,3016 43,68,1,AUDITORIUM DI VITTORIO - CAMERA DEL LAVORO, CSO DI PORTA VITTORIA 43, AUDITORIUM
1200,5,,1515784.7856,5036867.60191,AUDITORIUM GIORGIO GABER,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PUBBLICI ESISTENTI,REGIONE LOMBARDIA,PUBBLICA,REGIONE LOMBARDIA,PUBBLICA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,PZA DUCA D'AOSTA 5,1200 5,69,2,AUDITORIUM GIORGIO GABER, PZA DUCA D'AOSTA 5, AUDITORIUM
4026,15,,1515358.54589,5033437.406,AUDITORIUM LATTUADA,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,FONDAZIONE SCUOLE CIVICHE DI MILANO,PUBBLICA,GESTIONE DIRETTA,IN ESERCIZIO,CSO DI PORTA VIGENTINA 15,4026 15,70,1,AUDITORIUM LATTUADA, CSO DI PORTA VIGENTINA 15, AUDITORIUM
402,63,,1515282.63091,5033714.94731,CARCANO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,EPHOS SRL,PRIVATA,F.M.N. GESTIONE TEATRO CARCANO SRL,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,CSO DI PORTA ROMANA 63,402 63,6,1,CARCANO, CSO DI PORTA ROMANA 63, TEATRO
5258,17,,1513801.33101,5031524.585,CENTRO ASTERIA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,ISTITUTO SUORE SANTA DOROTEA DI CENNA,PRIVATA,ISTITUTO SUORE SANTA DOROTEA DI CENNA,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,PZA CARRARA FRANCESCO 17,5258 17,7,5,CENTRO ASTERIA, PZA CARRARA FRANCESCO 17, TEATRO
5367,7,,1511048.05401,5032092.20699,COMUNA BAIRES,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,ASSOCIAZIONE CULTURALE AGORA' XXI,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA PARENZO 7,5367 7,8,6,COMUNA BAIRES, VIA PARENZO 7, TEATRO
3031,12,,1515909.02931,5034615.45541,CONSERVATORIO SALA PUCCINI,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PUBBLICI ESISTENTI,STATO,PUBBLICA,CONSERVATORIO "GIUSEPPE VERDI" DI MILANO,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA CONSERVATORIO 12,3031 12,71,1,CONSERVATORIO SALA PUCCINI, VIA CONSERVATORIO 12, AUDITORIUM
